method,bin_lo,bin_hi,p_predicted_avg,y_observed_avg,n_samples,gap,abs_gap
raw,0.0000,0.1012,0.0447,0.2000,20,+0.1553,0.1553
raw,0.1012,0.1908,0.1493,0.2000,20,+0.0507,0.0507
raw,0.1908,0.2583,0.2186,0.2500,20,+0.0314,0.0314
raw,0.2583,0.3552,0.3060,0.3000,20,-0.0060,0.0060
raw,0.3552,0.4424,0.3949,0.5500,20,+0.1551,0.1551
raw,0.4424,0.5043,0.4703,0.5000,20,+0.0297,0.0297
raw,0.5043,0.5968,0.5452,0.3000,20,-0.2452,0.2452
raw,0.5968,0.6987,0.6418,0.7000,20,+0.0582,0.0582
raw,0.6987,0.8611,0.7758,0.6500,20,-0.1258,0.1258
raw,0.8611,1.0000,0.9238,0.8000,20,-0.1238,0.1238
platt,0.0000,0.1929,0.1740,0.2000,20,+0.0260,0.0260
platt,0.1929,0.2470,0.2287,0.2500,20,+0.0213,0.0213
platt,0.2470,0.2961,0.2736,0.2000,20,-0.0736,0.0736
platt,0.2961,0.3688,0.3336,0.3000,20,-0.0336,0.0336
platt,0.3688,0.4348,0.3963,0.5000,20,+0.1037,0.1037
platt,0.4348,0.4805,0.4575,0.5500,20,+0.0925,0.0925
platt,0.4805,0.5593,0.5171,0.3000,20,-0.2171,0.2171
platt,0.5593,0.6370,0.5934,0.7000,20,+0.1066,0.1066
platt,0.6370,0.7474,0.6880,0.7000,20,+0.0120,0.0120
platt,0.7474,1.0000,0.7791,0.7500,20,-0.0291,0.0291
isotonic,0.0000,0.1600,0.0746,0.2500,20,+0.1754,0.1754
isotonic,0.1600,0.2500,0.1922,0.2105,19,+0.0183,0.0183
isotonic,0.2500,0.3043,0.2556,0.1579,19,-0.0977,0.0977
isotonic,0.3043,0.3750,0.3223,0.3333,21,+0.0110,0.0110
isotonic,0.3750,0.4500,0.4006,0.4706,17,+0.0700,0.0700
isotonic,0.4500,0.4762,0.4500,0.4783,23,+0.0283,0.0283
isotonic,0.4762,0.6190,0.4946,0.4000,20,-0.0946,0.0946
isotonic,0.6190,0.6500,0.6352,0.8750,16,+0.2398,0.2398
isotonic,0.6500,0.7857,0.7089,0.6667,24,-0.0423,0.0423
isotonic,0.7857,1.0000,0.8364,0.6190,21,-0.2173,0.2173
