id,created_at,resolved_at,hold_hours,token,direction,trade_type,kronos,conviction,archetype,edge_source,leverage,entry_price,stop_loss,tp1_price,tp2_price,tp3_price,exit_price,outcome,pnl_pct,planned_risk_pct,realized_R
6,2026-04-16T20:01:21,2026-04-16T20:21:03,0.33,AVAX,LONG,,false,33,,,2x,9.8657,9.718,10.112,,,9.718,SL_HIT,-1.4971,1.4971,-1
43,2026-04-16T20:05:09,2026-04-16T20:32:59,0.46,PENDLE,LONG,,false,28,,,2x,1.2988,1.279,1.331,,,1.279,SL_HIT,-1.5245,1.5245,-1
49,2026-04-16T20:05:14,2026-04-16T20:32:59,0.46,DOT,LONG,,false,28,,,2x,1.3501,1.33,1.384,,,1.33,SL_HIT,-1.4888,1.4888,-1
16,2026-04-16T20:01:21,2026-04-16T20:33:59,0.54,SUI,LONG,,false,30,,,2x,1.0061,0.991,1.031,,,0.991,SL_HIT,-1.5008,1.5008,-1
12,2026-04-16T20:01:21,2026-04-16T20:34:59,0.56,DOT,LONG,,false,28,,,2x,1.3496,1.329,1.383,,,1.329,SL_HIT,-1.5264,1.5264,-1
7,2026-04-16T20:01:21,2026-04-16T20:35:59,0.58,LINK,LONG,,false,30,,,2x,9.6706,9.526,9.912,,,9.526,SL_HIT,-1.4953,1.4953,-1
8,2026-04-16T20:01:21,2026-04-16T20:35:59,0.58,ARB,LONG,,false,28,,,2x,0.13254,0.1306,0.1359,,,0.1306,SL_HIT,-1.4637,1.4637,-1
11,2026-04-16T20:01:21,2026-04-16T20:40:59,0.66,ADA,LONG,,false,21,,,2x,0.26092,0.257,0.2674,,,0.257,SL_HIT,-1.5024,1.5024,-1
31,2026-04-16T20:05:09,2026-04-16T20:51:45,0.78,ARB,LONG,,false,24,,,2x,0.13219,0.1302,0.1355,,,0.1302,SL_HIT,-1.5054,1.5054,-1
58,2026-04-16T20:20:14,2026-04-16T21:16:12,0.93,ARB,SHORT,,false,46,,,2x,0.13154,0.1335,0.1283,,,0.1283,TP1_HIT,2.4631,1.49,1.6531
14,2026-04-16T20:01:21,2026-04-16T21:19:41,1.31,AAVE,LONG,,false,30,,,2x,117.02,115.26,119.95,,,115.26,SL_HIT,-1.504,1.504,-1
69,2026-04-16T20:28:26,2026-04-16T21:20:41,0.87,ARB,SHORT,,false,36,,,2x,0.13143,0.1334,0.1281,,,0.1281,TP1_HIT,2.5337,1.4989,1.6904
76,2026-04-16T20:28:26,2026-04-16T21:20:41,0.87,AAVE,LONG,,false,33,,,2x,116.67,114.92,119.59,,,114.92,SL_HIT,-1.5,1.5,-1
160,2026-04-16T20:53:45,2026-04-16T21:20:41,0.45,AAVE,LONG,,false,30,,,2x,116.84,115.09,119.76,,,115.09,SL_HIT,-1.4978,1.4978,-1
184,2026-04-16T20:58:13,2026-04-16T21:20:41,0.37,AAVE,LONG,,false,43,,,2x,116.55,114.8,119.46,,,114.8,SL_HIT,-1.5015,1.5015,-1
18,2026-04-16T20:01:21,2026-04-16T21:21:41,1.34,OP,LONG,,false,28,,,2x,0.13245,0.1305,0.1358,,,0.1305,SL_HIT,-1.4723,1.4723,-1
20,2026-04-16T20:01:21,2026-04-16T21:21:41,1.34,ONDO,LONG,,false,28,,,2x,0.2734,0.2693,0.2802,,,0.2693,SL_HIT,-1.4996,1.4996,-1
85,2026-04-16T20:28:26,2026-04-16T21:21:41,0.89,TRUMP,LONG,,false,35,,,2x,3.0778,3.032,3.155,,,3.032,SL_HIT,-1.4881,1.4881,-1
91,2026-04-16T20:35:05,2026-04-16T21:21:41,0.78,ARB,SHORT,,false,45,,,2x,0.1307,0.1327,0.1274,,,0.1274,TP1_HIT,2.5249,1.5302,1.65
178,2026-04-16T20:58:13,2026-04-16T21:21:41,0.39,ARB,LONG,,false,35,,,2x,0.12972,0.1277,0.1331,,,0.1277,SL_HIT,-1.5572,1.5572,-1
53,2026-04-16T20:15:59,2026-04-16T21:22:37,1.11,UNI,LONG,,false,46,,,2x,3.4561,3.404,3.543,,,3.404,SL_HIT,-1.5075,1.5075,-1
212,2026-04-16T21:21:46,2026-04-16T21:22:37,0.01,PEPE,SHORT,,false,45,,,2x,0.00000395,0.000004,0.000004,,,0.000004,TP1_HIT,-1.2658,1.2658,-1
22,2026-04-16T20:01:21,2026-04-16T21:24:33,1.39,PENDLE,SHORT,,false,33,,,2x,1.2944,1.314,1.262,,,1.262,TP1_HIT,2.5031,1.5142,1.6531
191,2026-04-16T20:58:13,2026-04-16T21:24:33,0.44,PENDLE,LONG,,false,21,,,2x,1.2832,1.264,1.315,,,1.264,SL_HIT,-1.4963,1.4963,-1
116,2026-04-16T20:45:55,2026-04-16T21:28:02,0.7,ARB,SHORT,,false,43,,,2x,0.13027,0.1322,0.127,,,0.127,TP1_HIT,2.5102,1.4815,1.6944
28,2026-04-16T20:05:09,2026-04-16T21:29:02,1.4,SOL,LONG,,false,31,,,2x,90.212,88.859,92.467,,,88.859,SL_HIT,-1.4998,1.4998,-1
4,2026-04-16T20:01:20,2026-04-16T21:31:02,1.49,SOL,LONG,,false,31,,,2x,90.169,88.816,92.423,,,88.816,SL_HIT,-1.5005,1.5005,-1
281,2026-04-16T21:33:37,2026-04-16T21:34:02,0.01,PEPE,SHORT,,false,43,,,2x,0.00000395,0.000004,0.000004,,,0.000004,TP1_HIT,-1.2658,1.2658,-1
101,2026-04-16T20:35:05,2026-04-16T22:54:21,2.32,SUI,SHORT,,false,45,,,2x,0.988,1.0028,0.9633,,,1.0028,SL_HIT,-1.498,1.498,-1
102,2026-04-16T20:35:05,2026-04-16T22:54:21,2.32,APT,SHORT,,false,35,,,2x,0.9821,0.9968,0.9575,,,0.9968,SL_HIT,-1.4968,1.4968,-1
211,2026-04-16T21:21:46,2026-04-16T22:54:21,1.54,ARB,SHORT,,false,33,,,2x,0.12726,0.1292,0.1241,,,0.1292,SL_HIT,-1.5244,1.5244,-1
220,2026-04-16T21:21:46,2026-04-16T22:54:21,1.54,SUI,SHORT,,false,50,,,2x,0.9884,1.0032,0.9637,,,1.0032,SL_HIT,-1.4974,1.4974,-1
229,2026-04-16T21:21:56,2026-04-16T22:54:21,1.54,OP,SHORT,,false,28,,,2x,0.13015,0.1321,0.1269,,,0.1321,SL_HIT,-1.4983,1.4983,-1
238,2026-04-16T21:25:38,2026-04-16T22:54:21,1.48,ARB,SHORT,,false,33,,,2x,0.12712,0.129,0.1239,,,0.129,SL_HIT,-1.4789,1.4789,-1
245,2026-04-16T21:25:38,2026-04-16T22:54:21,1.48,SUI,SHORT,,false,33,,,2x,0.98686,1.0017,0.9622,,,1.0017,SL_HIT,-1.5038,1.5038,-1
247,2026-04-16T21:25:38,2026-04-16T22:54:21,1.48,OP,SHORT,,false,36,,,2x,0.12972,0.1317,0.1265,,,0.1317,SL_HIT,-1.5264,1.5264,-1
269,2026-04-16T21:30:07,2026-04-16T22:56:21,1.44,SUI,LONG,,false,28,,,2x,0.98664,0.9718,1.0113,,,1.0113,TP1_HIT,2.4994,1.5041,1.6617
105,2026-04-16T20:35:05,2026-04-16T23:00:55,2.43,TAO,SHORT,,false,28,,,2x,243.43,247.08,237.34,,,247.08,SL_HIT,-1.4994,1.4994,-1
166,2026-04-16T20:53:45,2026-04-16T23:05:25,2.19,TAO,SHORT,,false,28,,,2x,244.09,247.75,237.99,,,247.75,SL_HIT,-1.4994,1.4994,-1
190,2026-04-16T20:58:13,2026-04-16T23:05:25,2.12,TAO,SHORT,,false,28,,,2x,244.19,247.85,238.09,,,247.85,SL_HIT,-1.4988,1.4988,-1
248,2026-04-16T21:25:38,2026-04-16T23:05:25,1.66,TAO,SHORT,,false,35,,,2x,244.06,247.72,237.96,,,247.72,SL_HIT,-1.4996,1.4996,-1
